MPI_allreduce 8 524288
Run 38 time 0.000455141
Run 39 time 0.000467062
Run 40 time 0.000447035
Run 41 time 0.000452042
Run 42 time 0.000458002
Run 43 time 0.000439882
Run 44 time 0.000437021
Run 45 time 0.000435829
Run 46 time 0.000457048
Run 47 time 0.000456095
Run 48 time 0.000460863
Run 49 time 0.000446081
Run 50 time 0.000452995
Run 51 time 0.000442982
Run 52 time 0.000455856
Run 53 time 0.000442982
Run 54 time 0.000456095
Run 55 time 0.000445127
Run 56 time 0.000461102
Run 57 time 0.000444174
Run 58 time 0.000467777
Run 59 time 0.000445127
Run 60 time 0.000440121
Run 61 time 0.000435114
Run 62 time 0.000432968
Run 63 time 0.000459194
Run 64 time 0.000439167
Run 65 time 0.000444174
Run 66 time 0.000475168
Run 67 time 0.000725985
Run 68 time 0.000461102
Run 69 time 0.000465870
Run 70 time 0.000457048
Run 71 time 0.000445127
Run 72 time 0.000436068
Run 73 time 0.000458002
Run 74 time 0.000470161
Run 75 time 0.000455856
Run 76 time 0.000463963
Run 77 time 0.000458002
Run 78 time 0.000456810
Run 79 time 0.000458956
Run 80 time 0.000435114
Run 81 time 0.000437975
Run 82 time 0.000450134
Run 83 time 0.000447989
Run 84 time 0.000458002
Run 85 time 0.000460863
Run 86 time 0.000443935
Run 87 time 0.000442028
Run 88 time 0.000432968
Run 89 time 0.000458002
Run 90 time 0.000444889
Run 91 time 0.000443935
Run 92 time 0.000462055
Run 93 time 0.000456095
Run 94 time 0.000444889
Run 95 time 0.000435114
Run 96 time 0.000432014
Run 97 time 0.000442028
Run 98 time 0.000458002
Run 99 time 0.000436068
Run 100 time 0.000470161
2TreeComplete_allreduceoptimal 8 524288 2
Run 1 time 0.030606985
Run 2 time 0.000516891
Run 3 time 0.000511169
Run 4 time 0.000490904
Run 5 time 0.000503063
Run 6 time 0.000495195
Run 7 time 0.000494003
Run 8 time 0.000492096
Run 9 time 0.000501156
Run 10 time 0.000492096
Run 11 time 0.000502825
Run 12 time 0.000508070
Run 13 time 0.000499010
Run 14 time 0.000490904
Run 15 time 0.000502110
Run 16 time 0.000497103
Run 17 time 0.001590967
Run 18 time 0.000485897
Run 19 time 0.000512123
Run 20 time 0.000493050
Run 21 time 0.000499964
Run 22 time 0.000488043
Run 23 time 0.000509024
Run 24 time 0.000504971
Run 25 time 0.000502110
Run 26 time 0.000498056
Run 27 time 0.000497818
Run 28 time 0.001250029
Run 29 time 0.000503778
Run 30 time 0.000499010
Run 31 time 0.000496149
Run 32 time 0.000496864
Run 33 time 0.000498056
Run 34 time 0.000519037
Run 35 time 0.000504017
Run 36 time 0.000504017
Run 37 time 0.000488997
Run 38 time 0.000490904
Run 39 time 0.000507116
Run 40 time 0.000508070
Run 41 time 0.000493050
Run 42 time 0.000496149
Run 43 time 0.000504971
Run 44 time 0.000492811
Run 45 time 0.000502110
Run 46 time 0.000499964
Run 47 time 0.000498056
Run 48 time 0.001068830
Run 49 time 0.000491142
Run 50 time 0.000499964
Run 51 time 0.000488997
Run 52 time 0.000490189
Run 53 time 0.000495195
Run 54 time 0.000499964
Run 55 time 0.000495911
